,stat_date,base_fee_burn,miner_tip,overestimation_fee,penalty_fee,protocol_revenue
430,2021-12-19 00:00:00+00:00,0.02125397489124198,6.131105087266664,0.001264533044283983,3469.042202787332,3475.195826382534
431,2021-12-20 00:00:00+00:00,0.994173144393594,6.674063292486777,0.0620560026897061,3519.4551187576562,3527.185411197226
432,2021-12-21 00:00:00+00:00,215.30969004513386,10.86103214176966,12.962278550133126,4569.989902238456,4809.122902975493
433,2021-12-22 00:00:00+00:00,4754.506565421749,6.5716120070729165,274.2739326305019,4185.184410032069,9220.536520091391
434,2021-12-23 00:00:00+00:00,4911.627901949937,6.6212875383573575,270.8531572546215,3163.4335494250045,8352.53589616792
435,2021-12-24 00:00:00+00:00,5496.540683181194,6.347324938954079,312.9314115138007,3269.2023144078858,9085.021734041835
436,2021-12-25 00:00:00+00:00,2193.238142607248,6.542056942658653,123.57043835276117,2639.094195640896,4962.4448335435645
437,2021-12-26 00:00:00+00:00,181.556364170739,6.402391889554344,10.221610442218244,1581.7328682586015,1779.913234761113
438,2021-12-27 00:00:00+00:00,1338.3175277645646,6.487347315323679,76.36269856879589,2469.5614880613743,3890.7290617100584
439,2021-12-28 00:00:00+00:00,221.4941592790939,6.146151892439353,12.045175799762859,1511.3509983542538,1751.0364853255498
440,2021-12-29 00:00:00+00:00,3.2054437993045983,6.372618000778678,0.16495269075332894,2221.4553420911325,2231.198356581969
441,2021-12-30 00:00:00+00:00,0.007227107573027794,6.308612616129921,0.000398891284427414,772.4535474473741,778.7697860623615
442,2021-12-31 00:00:00+00:00,0.005772998268489896,5.75242724219019,0.000307472107813175,1671.1669760470281,1676.9254837595947
443,2022-01-01 00:00:00+00:00,0.004658137796031734,5.828456025110213,0.000250612875779399,2392.0221740679167,2397.855538843699
444,2022-01-02 00:00:00+00:00,0.004760338173252309,5.684452797362063,0.000256059536051118,1630.2770732713088,1635.9665424663801
445,2022-01-03 00:00:00+00:00,0.005105560628067672,6.059371275328119,0.000278889640417651,1508.109426079133,1514.1741818047296
446,2022-01-04 00:00:00+00:00,0.004565071902898675,7.86598085435503,0.000224707383344146,1004.459951763206,1012.3307223968474
447,2022-01-05 00:00:00+00:00,0.005646410121691519,6.052283109761741,0.000280808157897667,732.8994072187655,738.9576175468069
448,2022-01-06 00:00:00+00:00,0.006280629376028642,6.261366892738497,0.000323824824398544,809.9262031351163,816.1941744820552
449,2022-01-07 00:00:00+00:00,0.006512247521728899,8.751611643130746,0.000339762000196357,697.8664597173799,706.6249233700327
450,2022-01-08 00:00:00+00:00,0.007863740245012699,6.250801329375754,0.000410757436910796,583.4827801153349,589.7418559423926
451,2022-01-09 00:00:00+00:00,0.03249596387166341,6.334409993012779,0.001849873858454478,670.074747280678,676.4435031114209
452,2022-01-10 00:00:00+00:00,463.45772612071147,6.949667263752406,27.827825184365917,933.2461360051157,1431.4813545739455
453,2022-01-11 00:00:00+00:00,3663.0186293988536,7.312361650707065,217.50267647828278,2058.7201933083484,5946.553860836191
454,2022-01-12 00:00:00+00:00,2387.807362013123,6.665227237384791,132.85706565671634,1829.2915147458077,4356.621169653032
455,2022-01-13 00:00:00+00:00,1959.689001466995,6.423540326101186,112.22564743906226,1389.7422702885667,3468.0804595207255
456,2022-01-14 00:00:00+00:00,3353.5804056903853,6.496259306918466,198.10582881858832,782.9819646239647,4341.164458439856
457,2022-01-15 00:00:00+00:00,4945.76812135426,6.3960235123082105,291.881643928971,867.0498135509625,6111.095602346502
458,2022-01-16 00:00:00+00:00,3132.9204037668082,6.5258163331620365,185.40129862102629,1047.6528727574093,4372.500391478406
459,2022-01-17 00:00:00+00:00,0.007016006374018155,5.382611050632633,0.000382416283375082,581.6169417634505,587.0069512367405
460,2022-01-18 00:00:00+00:00,0.004794974846074842,5.892729571114575,0.000273453456917953,542.136233572803,548.0340315722206
461,2022-01-19 00:00:00+00:00,0.005263211383824137,6.213466314480277,0.000314094457989955,332.0803343896207,338.2993780099428
