,Unnamed: 0,date,index,Unnamed: 0.1,cum_sum_baseline,cum_sum_realized,effective_baseline_power,new_baseline_power,total_mined_reward,effective_network_time
19,19,2020-09-12,253362.99393073903,253362.99393073903,5.440717099889942e+21,5.440137728337845e+21,1.158607611476795e+18,1.2192475311438904e+18,1.7750824789880613e+24,4707.455194573367
20,20,2020-09-13,256170.0042659083,256170.0042659083,6.097671299980133e+21,6.097096248881797e+21,1.1592941959328128e+18,1.222918250610481e+18,1.885001048984124e+24,5274.306078919303
21,21,2020-09-14,258985.0014199503,258985.0014199503,6.794968366776247e+21,6.794389729104894e+21,1.1600229428183995e+18,1.2266077471150433e+18,1.9977405751572248e+24,5875.598509052184
22,22,2020-09-15,261801.49964488635,261801.49964488635,7.53838217608107e+21,7.537798872184627e+21,1.1607998864254085e+18,1.2303054213839322e+18,2.114519683994889e+24,6516.243607954545
23,23,2020-09-16,264614.9982212736,264614.9982212736,8.29467972158086e+21,8.294098355829409e+21,1.161590294856914e+18,1.2340153632017646e+18,2.2323061240475712e+24,7167.55247242974
24,24,2020-09-17,267435.0063626723,267435.0063626723,9.067054919676204e+21,9.066473981374992e+21,1.1623975060828306e+18,1.2377326733678062e+18,2.351618894270527e+24,7832.249558147755
25,25,2020-09-18,270260.4975194897,270260.4975194897,9.86060644699075e+21,9.860026714750011e+21,1.163226848742682e+18,1.241469933745179e+18,2.473742489630504e+24,8514.68958185684
26,26,2020-09-19,273080.9989357928,273080.9989357928,1.0680673756880652e+22,1.06800892477347e+22,1.1640839031123492e+18,1.2452055740787182e+18,2.5946389858780755e+24,9219.421780773324
27,27,2020-09-20,275897.4982231699,275897.4982231699,1.1527373723768298e+22,1.1526796499721094e+22,1.16496879133758e+18,1.2489659337986424e+18,2.7138193856402814e+24,9946.49644633973
28,28,2020-09-21,278722.0074074074,278722.0074074074,1.241815253303652e+22,1.241756693455674e+22,1.165899746469779e+18,1.252722615142944e+18,2.839398649038555e+24,10710.825396825398
29,29,2020-09-22,281558.50105708244,281558.50105708244,1.333624523105716e+22,1.3335659432642355e+22,1.1668592474145293e+18,1.2565054400828155e+18,2.970629477627175e+24,11497.954897815363
30,30,2020-09-23,284394.49858856737,284394.49858856737,1.4268994636330337e+22,1.42684085842261e+22,1.1678340661202053e+18,1.2602943258037038e+18,3.1089673736041895e+24,12296.986944248412
