,Approve,Reject,id
0,0,0,core_dev
1,1277721179129284909107809,1890010098537394849662049,token_holder
2,1962954562889728,8233032069718016,clients
3,2.671775700301644e+18,1.5018979053283574e+18,capacity
4,6333789854913624,106678110771489920,deals
