,id,pollId,constituentGroupId,optionId,address,signerAddress,signature,power,balance,lockedBalance,uploaded,textilePath,createdAt,updatedAt
2085,2687,16,0,49,f0101020,f3rvcyieupmffnprp7r3i6j6rkr3t4mhwqm3m7zqy3j2m27lyoqaq4bl33avewo6cezf6v4adx2xvneg6mq4mq,"{""version"":1,""signer"":""f3rvcyieupmffnprp7r3i6j6rkr3t4mhwqm3m7zqy3j2m27lyoqaq4bl33avewo6cezf6v4adx2xvneg6mq4mq"",""address"":""f0101020"",""pollId"":""16"",""constituentGroupId"":0,""optionName"":""Approve"",""message"":""3136202d20417070726f7665"",""signature"":""029527da8b50a523cac3ffe813908ea92cac27c8ca484225b6b92335926dd52cb4d3a22481eb439d9b264a89408fab30b402986d5b277203e8735c5cfa1b553539faa562a7b4ff861cede7c493dbb3005c050600c2c261db6cb2250d86cd18871b"",""balance"":0,""lockedBalance"":""33165051324182330619622"",""power"":""48722761840852992""}",48722761840852992,0,33165051324182330619622,True,/ipfs/bafkreif5ozxqfistlgvwqhnvit2nvds6i3yhyx4s4ucq7dqfwm4ullr2jq,2022-09-27 10:07:07.356,2022-09-27 10:07:25.855
2086,2688,16,0,49,f3q3uqw4hzsmk5sgxqtdpwhnyservmz4zzktrmrko7p64sqixqg4lpd2bb2r7n4bj3w6kqfiopopvmzeeqqyoa,f3q3uqw4hzsmk5sgxqtdpwhnyservmz4zzktrmrko7p64sqixqg4lpd2bb2r7n4bj3w6kqfiopopvmzeeqqyoa,"{""version"":1,""signer"":""f3q3uqw4hzsmk5sgxqtdpwhnyservmz4zzktrmrko7p64sqixqg4lpd2bb2r7n4bj3w6kqfiopopvmzeeqqyoa"",""address"":""f3q3uqw4hzsmk5sgxqtdpwhnyservmz4zzktrmrko7p64sqixqg4lpd2bb2r7n4bj3w6kqfiopopvmzeeqqyoa"",""pollId"":""16"",""constituentGroupId"":0,""optionName"":""Approve"",""message"":""3136202d20417070726f7665"",""signature"":""02852aaefe2393879d61e729eb6bfbf4bf1b4d990d3be3c67371c835b7aefb6c3d946ba6c29ba5fc6c51ee8f8c825fa69d00f8bfd3f8b9e863c5a0d6e3e13a0cc2306041095288ae200250a858eb8dcfaaa86247d9bff661dfe55c0a1423bf36bb"",""balance"":""120205987464839053544"",""lockedBalance"":""0"",""power"":""0""}",0,120205987464839053544,0,True,/ipfs/bafkreigg62qfcn54uwmdsx7cutivwtbdlgp7kwfrlyx7m3q4dvh5o2p274,2022-09-27 10:08:58.231,2022-09-27 10:09:05.944
2087,2689,16,0,49,f0101021,f3q3uqw4hzsmk5sgxqtdpwhnyservmz4zzktrmrko7p64sqixqg4lpd2bb2r7n4bj3w6kqfiopopvmzeeqqyoa,"{""version"":1,""signer"":""f3q3uqw4hzsmk5sgxqtdpwhnyservmz4zzktrmrko7p64sqixqg4lpd2bb2r7n4bj3w6kqfiopopvmzeeqqyoa"",""address"":""f0101021"",""pollId"":""16"",""constituentGroupId"":0,""optionName"":""Approve"",""message"":""3136202d20417070726f7665"",""signature"":""02852aaefe2393879d61e729eb6bfbf4bf1b4d990d3be3c67371c835b7aefb6c3d946ba6c29ba5fc6c51ee8f8c825fa69d00f8bfd3f8b9e863c5a0d6e3e13a0cc2306041095288ae200250a858eb8dcfaaa86247d9bff661dfe55c0a1423bf36bb"",""balance"":0,""lockedBalance"":""22420382797384789705615"",""power"":""23335072715243520""}",23335072715243520,0,22420382797384789705615,True,/ipfs/bafkreidyl5zzzwiqgwi64c7ejge4n3t5ykape62grznuzey7djoym2nmwy,2022-09-27 10:08:58.235,2022-09-27 10:09:09.626
2088,2690,16,0,50,f3rijjctpvbncnkri5ndxmypw4gtvbfkjqn25clztsx7qkx6i453vlxwpcol3q3daqx5adovyjaaelswurwnza,f3rijjctpvbncnkri5ndxmypw4gtvbfkjqn25clztsx7qkx6i453vlxwpcol3q3daqx5adovyjaaelswurwnza,"{""version"":1,""signer"":""f3rijjctpvbncnkri5ndxmypw4gtvbfkjqn25clztsx7qkx6i453vlxwpcol3q3daqx5adovyjaaelswurwnza"",""address"":""f3rijjctpvbncnkri5ndxmypw4gtvbfkjqn25clztsx7qkx6i453vlxwpcol3q3daqx5adovyjaaelswurwnza"",""pollId"":""16"",""constituentGroupId"":0,""optionName"":""Reject"",""message"":""3136202d2052656a656374"",""signature"":""02812a5312fd307b7e22f77a7b0b30f975f98090087493ed3acb8ca44be48c1357514546926218a54dd2e76ab8ff85f3791198062cc32f9cbfc5f7f6ca3190896b39189652ce7148cd2ec2134c0595a5df26c0a496b1f1788c32c74dff667afa4e"",""balance"":""1000766330552443849"",""lockedBalance"":""0"",""power"":""0""}",0,1000766330552443849,0,True,/ipfs/bafkreigcnyamhs5zanvjk7c56a3y4dofnmp2snn3rlmu6ti2yhfcu5nfmi,2022-09-27 10:10:37.459,2022-09-27 10:10:48.388
2089,2691,16,0,50,f01880894,f3rijjctpvbncnkri5ndxmypw4gtvbfkjqn25clztsx7qkx6i453vlxwpcol3q3daqx5adovyjaaelswurwnza,"{""version"":1,""signer"":""f3rijjctpvbncnkri5ndxmypw4gtvbfkjqn25clztsx7qkx6i453vlxwpcol3q3daqx5adovyjaaelswurwnza"",""address"":""f01880894"",""pollId"":""16"",""constituentGroupId"":0,""optionName"":""Reject"",""message"":""3136202d2052656a656374"",""signature"":""02812a5312fd307b7e22f77a7b0b30f975f98090087493ed3acb8ca44be48c1357514546926218a54dd2e76ab8ff85f3791198062cc32f9cbfc5f7f6ca3190896b39189652ce7148cd2ec2134c0595a5df26c0a496b1f1788c32c74dff667afa4e"",""balance"":0,""lockedBalance"":""4687002136485320104125"",""power"":""1169364975878144""}",1169364975878144,0,4687002136485320104125,True,/ipfs/bafkreiemmujnuf5icukjyxqn7yy4kqegvz7l5fhb4ssvw74vhzjw3pvadu,2022-09-27 10:10:37.463,2022-09-27 10:10:52.530
2090,2692,16,0,49,f3vmvpucm4ozqwiac6m277x3kvbokaqofyvlekhbzadbx4ug7gbwduiqw7p4lcm4tzlo3jdp2xmktvqebblqda,f3vmvpucm4ozqwiac6m277x3kvbokaqofyvlekhbzadbx4ug7gbwduiqw7p4lcm4tzlo3jdp2xmktvqebblqda,"{""version"":1,""signer"":""f3vmvpucm4ozqwiac6m277x3kvbokaqofyvlekhbzadbx4ug7gbwduiqw7p4lcm4tzlo3jdp2xmktvqebblqda"",""address"":""f3vmvpucm4ozqwiac6m277x3kvbokaqofyvlekhbzadbx4ug7gbwduiqw7p4lcm4tzlo3jdp2xmktvqebblqda"",""pollId"":""16"",""constituentGroupId"":0,""optionName"":""Approve"",""message"":""3136202d20417070726f7665"",""signature"":""02a71d36a1f9aae994375ee3dd8a5716468fca2dec33104d573d2e2a8e96c82f64a404e75684e08cd82dc1690b6295c6610634ab8a51049d68f2b70c3188b412c019d988023ebba3775b70e162bd5f66ee67b288636c23a3e7512cef4500fee211"",""balance"":""37238643913207754244"",""lockedBalance"":""0"",""power"":""0""}",0,37238643913207754244,0,True,/ipfs/bafkreihcjam4tlphe5vtucliwogfvmv5u3lf6p3sycp62mpjcg4j5qcsyy,2022-09-27 10:14:12.926,2022-09-27 10:14:17.755
2091,2693,16,0,49,f0158276,f3vmvpucm4ozqwiac6m277x3kvbokaqofyvlekhbzadbx4ug7gbwduiqw7p4lcm4tzlo3jdp2xmktvqebblqda,"{""version"":1,""signer"":""f3vmvpucm4ozqwiac6m277x3kvbokaqofyvlekhbzadbx4ug7gbwduiqw7p4lcm4tzlo3jdp2xmktvqebblqda"",""address"":""f0158276"",""pollId"":""16"",""constituentGroupId"":0,""optionName"":""Approve"",""message"":""3136202d20417070726f7665"",""signature"":""02a71d36a1f9aae994375ee3dd8a5716468fca2dec33104d573d2e2a8e96c82f64a404e75684e08cd82dc1690b6295c6610634ab8a51049d68f2b70c3188b412c019d988023ebba3775b70e162bd5f66ee67b288636c23a3e7512cef4500fee211"",""balance"":0,""lockedBalance"":""1887507097661073311022"",""power"":""1690739645874176""}",1690739645874176,0,1887507097661073311022,True,/ipfs/bafkreih2d4lsy2s6ynarwbcpmy46hdu36diubtbzvbdei3ra6ey7p4io6y,2022-09-27 10:14:12.930,2022-09-27 10:14:21.811
2092,2694,16,0,49,f3qa5snzulzxyp3sic2uv7eori2bbdf7avgbdqhnuex25bzkpnd72ncyilpfkg4xpux446sku2vjvzpobnjmmq,f3qa5snzulzxyp3sic2uv7eori2bbdf7avgbdqhnuex25bzkpnd72ncyilpfkg4xpux446sku2vjvzpobnjmmq,"{""version"":1,""signer"":""f3qa5snzulzxyp3sic2uv7eori2bbdf7avgbdqhnuex25bzkpnd72ncyilpfkg4xpux446sku2vjvzpobnjmmq"",""address"":""f3qa5snzulzxyp3sic2uv7eori2bbdf7avgbdqhnuex25bzkpnd72ncyilpfkg4xpux446sku2vjvzpobnjmmq"",""pollId"":""16"",""constituentGroupId"":0,""optionName"":""Approve"",""message"":""3136202d20417070726f7665"",""signature"":""029853b87d8aa72e6017e4d08438a583637a658ba675045a1f3ebc6271483676e7d77de3290661c5e64897756c1805c4dc04acbee8f56164ce341b78e1090c08aad805a5ba7612229e87a129ac39bd5496179a81a1a1cf032f6e7e5468d89a4e70"",""balance"":""10016584865243646748"",""lockedBalance"":""0"",""power"":""0""}",0,10016584865243646748,0,True,/ipfs/bafkreif5omzwk4m6hn77byw6gwouyrbvxhev4fnlghsjghjzri74fh55nu,2022-09-27 10:14:56.965,2022-09-27 10:15:07.801
2093,2696,16,0,49,f3uysq634fd2ynpkd6zwyfrsbrah5l4l6iswmtqzu623vmvgfwdjxcpleg2hgfokybywnmedtklqtezhy3fiza,f3uysq634fd2ynpkd6zwyfrsbrah5l4l6iswmtqzu623vmvgfwdjxcpleg2hgfokybywnmedtklqtezhy3fiza,"{""version"":1,""signer"":""f3uysq634fd2ynpkd6zwyfrsbrah5l4l6iswmtqzu623vmvgfwdjxcpleg2hgfokybywnmedtklqtezhy3fiza"",""address"":""f3uysq634fd2ynpkd6zwyfrsbrah5l4l6iswmtqzu623vmvgfwdjxcpleg2hgfokybywnmedtklqtezhy3fiza"",""pollId"":""16"",""constituentGroupId"":0,""optionName"":""Approve"",""message"":""3136202d20417070726f7665"",""signature"":""0289ebaf9ad368e06325856b0eefa5de1187991382c097b6e44449ccb0630871702e59c813d0210f31ce2993dfeb8f47450d5e594db63767943a3ae42c5a0fce81f6f19839d255e1fd6e9f37e01e2ba3a00d84bc1166eac04935b2881eb3c05266"",""balance"":""15616339168375104229"",""lockedBalance"":""0"",""power"":""0""}",0,15616339168375104229,0,True,/ipfs/bafkreicafx7chl2oqzzsgg263bgnnvb6cearjanty775ltli2aagxogcxi,2022-09-27 10:15:32.744,2022-09-27 10:15:38.070
2094,2697,16,0,49,f3wghxqsfoh6fo5rmeqmf5frf4qa5qfcifdmaqxynjyuvh3ra7m2eoxhgeknsvjjykuqbk5tb73kmnev3qkx3q,f3wghxqsfoh6fo5rmeqmf5frf4qa5qfcifdmaqxynjyuvh3ra7m2eoxhgeknsvjjykuqbk5tb73kmnev3qkx3q,"{""version"":1,""signer"":""f3wghxqsfoh6fo5rmeqmf5frf4qa5qfcifdmaqxynjyuvh3ra7m2eoxhgeknsvjjykuqbk5tb73kmnev3qkx3q"",""address"":""f3wghxqsfoh6fo5rmeqmf5frf4qa5qfcifdmaqxynjyuvh3ra7m2eoxhgeknsvjjykuqbk5tb73kmnev3qkx3q"",""pollId"":""16"",""constituentGroupId"":0,""optionName"":""Approve"",""message"":""3136202d20417070726f7665"",""signature"":""02920c648d7a0c52d7542583c4e6e2f2b69d6b5d973584a5ecf539d86ac23e9977170cddbcd700e7bbec54f77736159f57109e6594fed7dbd3fc25333bc0110dc99daac4bc08285abf1f0d1b68c76acc2037216048f713c84890543e3de90e5bac"",""balance"":""27786954812676979853"",""lockedBalance"":""0"",""power"":""0""}",0,27786954812676979853,0,True,/ipfs/bafkreigvvdedk5m7ehwmhur5dyx3efhcbk3yybt6h4yguelvq7javkg5my,2022-09-27 10:17:12.035,2022-09-27 10:17:17.759
